        64/3660      , 0.00068864,  0.0034296, -0.00019414,    -1.6061,  -0.012825
        65/3660      , 0.00068864,  0.0034063, -6.6614e-05,    -1.6061,  -0.012721
        66/3660      ,  0.0006875, 0.00038806, 0.00014931,    -1.6063,  -0.015525
        67/3660      ,  0.0006875, 0.00038876, -6.6881e-05,    -1.6069,  -0.015747
        68/3660      ,  0.0006875, 0.00038773, -2.3458e-05,     -1.607,  -0.015706
        69/3660      ,  0.0006875, 0.00038676, 4.7255e-05,    -1.6074,   -0.01564
        70/3660      ,  0.0006875, 0.00038856, -7.485e-05,    -1.6073,  -0.015759
        71/3660      ,  0.0006875, 0.00038927, -1.4325e-05,    -1.6076,  -0.015701
        72/3660      , 0.00068637,  0.0003853, -3.5116e-05,    -1.6076,  -0.015726
        73/3660      , 0.00068637, 0.00038494,  2.554e-05,    -1.6079,  -0.015668
        74/3660      , 0.00068637, 0.00038427, -3.5779e-05,     -1.608,  -0.015731
        75/3660      , 0.00068637, 0.00038462, 3.6333e-06,    -1.6077,  -0.015689
        76/3660      , 0.00068637, 0.00038561, -9.5086e-05,    -1.6076,  -0.015785
        77/3660      , 0.00068637,   0.000385, -0.00012017,    -1.6075,   -0.01581
        78/3660      , 0.00068523, 0.00038791, 4.3513e-05,    -1.6081,  -0.015649
        79/3660      , 0.00068523, 0.00039005, 7.1742e-06,    -1.6078,  -0.015681
        80/3660      , 0.00068523, 0.00038829, 2.7985e-06,    -1.6078,  -0.015687
        81/3660      , 0.00068523, 0.00038837,   -2.7e-05,    -1.6075,  -0.015713
        82/3660      , 0.00068523,  0.0003884, -0.00010526,    -1.6075,  -0.015792
        83/3660      , 0.00068523, 0.00038825, 1.5516e-06,     -1.607,   -0.01568
        84/3660      ,  0.0006841, 0.00039613, 1.7549e-05,    -1.6079,  -0.015665
        85/3660      ,  0.0006841, 0.00039469, -2.807e-05,    -1.6082,  -0.015715
        86/3660      ,  0.0006841,  0.0003956, 3.8444e-05,     -1.608,  -0.015646
        87/3660      ,  0.0006841, 0.00039573, -9.3494e-05,    -1.6076,  -0.015774
        88/3660      ,  0.0006841, 0.00039526, -8.4559e-05,    -1.6074,  -0.015764
        89/3660      ,  0.0006841, 0.00039693, -5.8666e-05,    -1.6071,  -0.015733
        90/3660      , 0.00068296,   0.040006,  0.0049498,    -1.6023,   0.028932
        91/3660      , 0.00068296,   0.034524,  0.0027782,    -1.6037,   0.021266
        92/3660      , 0.00068296,     0.0336,  0.0037774,    -1.6039,   0.021339
        93/3660      , 0.00068296,   0.033089,  0.0034601,    -1.6026,   0.020523
        94/3660      , 0.00068296,   0.031973,   0.002314,    -1.6031,   0.018257
        95/3660      , 0.00068296,   0.031454,  0.0022895,    -1.6027,   0.017716
        96/3660      , 0.00068182,   0.039545,  0.0021636,    -1.5972,   0.025736
        97/3660      , 0.00068182,   0.034507,  0.0042906,    -1.5965,   0.022833
        98/3660      , 0.00068182,   0.033456,  0.0024465,    -1.5958,   0.019945
        99/3660      , 0.00068182,   0.032558,  0.0010505,    -1.5958,   0.017651
       100/3660      , 0.00068182,   0.032086,  0.0011487,    -1.5954,    0.01728
       101/3660      , 0.00068182,   0.031928,  0.0026114,     -1.596,    0.01858
       102/3660      , 0.00068069, 0.00039097, -7.3277e-05,    -1.6042,  -0.015724
       103/3660      , 0.00068069, 0.00038701, -7.303e-05,    -1.6044,   -0.01573
       104/3660      , 0.00068069, 0.00038639, -2.6475e-05,    -1.6046,  -0.015686
       105/3660      , 0.00068069,  0.0003861, -0.00013215,    -1.6049,  -0.015795
       106/3660      , 0.00068069, 0.00038625, -0.00013827,    -1.6049,  -0.015801
       107/3660      , 0.00068069, 0.00038625, -0.00014974,    -1.6049,  -0.015812
       108/3660      , 0.00067955, 0.00038618, 9.4405e-06,    -1.6062,  -0.015667
       109/3660      , 0.00067955,  0.0003901, -9.5707e-05,    -1.6073,  -0.015778
       110/3660      , 0.00067955, 0.00038595, -7.155e-05,    -1.6075,  -0.015761
       111/3660      , 0.00067955, 0.00038693,  -9.51e-05,    -1.6075,  -0.015783
       112/3660      , 0.00067955, 0.00038814, -0.00014932,    -1.6075,  -0.015836
       113/3660      , 0.00067955, 0.00038687, -0.00010159,    -1.6072,  -0.015787
       114/3660      , 0.00067841,  0.0019996, 6.9453e-05,    -1.6077,  -0.014008
       115/3660      , 0.00067841,  0.0020675, 0.00015647,    -1.6077,  -0.013853
       116/3660      , 0.00067841,  0.0017433, -0.00019984,     -1.607,  -0.014527
       117/3660      , 0.00067841,   0.001719, -8.3495e-05,    -1.6069,  -0.014433
       118/3660      , 0.00067841,   0.001692, -0.00019866,    -1.6067,  -0.014573
       119/3660      , 0.00067841,  0.0016456, -0.00025599,     -1.606,   -0.01467
       120/3660      , 0.00067728, 0.00038812, 6.7659e-05,    -1.6073,  -0.015618
       121/3660      , 0.00067728, 0.00038585, -0.00010507,    -1.6076,  -0.015796
       122/3660      , 0.00067728,  0.0003849, -4.8557e-05,    -1.6074,  -0.015738
       123/3660      , 0.00067728, 0.00038635, -8.4921e-05,    -1.6074,  -0.015772
       124/3660      , 0.00067728, 0.00038612, -9.8519e-05,    -1.6074,  -0.015787
       125/3660      , 0.00067728, 0.00038662, -0.00010723,    -1.6071,  -0.015791
       126/3660      , 0.00067614,  0.0015585, 6.0563e-05,    -1.6083,  -0.014464
       127/3660      , 0.00067614,  0.0014537,  3.373e-05,    -1.6084,  -0.014596
       128/3660      , 0.00067614,  0.0014249, -0.00013606,     -1.608,  -0.014791
       129/3660      , 0.00067614,  0.0014351, -0.00016461,    -1.6077,  -0.014807
       130/3660      , 0.00067614,  0.0013361, -1.9353e-05,    -1.6078,  -0.014761
       131/3660      , 0.00067614,  0.0013459, -7.4869e-05,    -1.6074,  -0.014803
